"name","canonical_url","status","hq_country","operating_regions","entity_type","scale_signal","primary_lifecycle","tech_strategy","innovation_model","named_initiatives","quantified_outcome","claim_type","evidence_grade","jcx_relevance","relevance_tier","caveats","source_urls","last_verified"
"PLAN0 AI","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","Unknown","United States / unknown","YC preconstruction analytics startup","YC profile claims $20bn of projects; verify","L/D/C/F","Vision models analyse plans for cost estimates","YC-backed and industry partnerships","PLAN0 AI","$20bn projects claimed by profile","startup self-report","D","Potential JCX cost-intelligence pilot","Tier 3","Early-stage claim; independently validate","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"PermitPortal","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","United States","United States","YC site-to-permit workflow startup","Scale unknown","L/D","AI site selection, entitlement and permitting","YC-backed startup","PermitPortal","Unknown","startup self-report","D","High relevance to land and approval bottlenecks","Tier 3","Validate municipal customers and approvals","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"ArchiLabs","https://www.ycombinator.com/companies/archilabs","watchlist","United States","Global/unknown","YC data-centre design startup","Founder profile cites prior $10.6m contracted run rate, not current company","D/C","AI data-centre design OS","YC-backed startup","ArchiLabs","$10.6m is prior-company claim, not ArchiLabs outcome","startup self-report","D","Potential data-centre design pilot","Tier 3","Separate founder history from current traction","https://www.ycombinator.com/companies/archilabs","2026-08-30"
"Karmen","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","Unknown","United States / unknown","YC construction scheduling startup","Scale unknown","C","AI scheduling from project documents","YC-backed startup","Karmen","Unknown","startup self-report","D","Potential JCX schedule-risk pilot","Tier 3","Verify live projects and accuracy","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"Fresco","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","United States","United States","YC construction takeoff startup","Profile claims 3,000+ takeoffs","C","AI trade takeoff and estimating","YC-backed startup","Fresco","3,000+ takeoffs; 99% accuracy; 70% time reduction claimed","startup self-report","D","Potential estimating pilot","Tier 3","Claims require customer validation","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"PropRise","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","United States","United States","YC CRE investment analytics","Profile claims 50+ customers including Public Storage","F","AI sourcing, underwriting and site selection","YC-backed startup","Beacon; Primer","50+ customers claimed; no audited productivity metric","startup self-report","D","Potential land and underwriting pilot","Tier 3","Verify references and data rights","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"Cambio","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","United States","Global","YC CRE operations and retrofit analytics","Claims institutional customers; verify","F/O/E","LLM portfolio operations, compliance and retrofit prioritisation","YC-backed and enterprise customers","Cambio platform","Named customer list; no independent ROI","startup self-report","D","Potential ESG and capex prioritisation layer","Tier 3","Customer references are startup-profile claims","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"Foundation","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","United States","United States","YC homebuilder buyer-experience software","Scale unknown","S/H","Online new-home shopping, purchase and ownership","YC-backed startup","Foundation","Unknown","startup self-report","D","Potential digital sales and handover layer","Tier 3","Verify builder customers and conversion","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"Express Building","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","Singapore","Indonesia Philippines","YC affordable housing finance startup","Scale unknown","L/F","Pre-sold affordable housing development pipeline and finance","YC-backed startup","Express Building","Unknown","startup self-report","D","Regional affordable-development pattern","Tier 3","Verify financing licence and defaults","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"FlatX","https://www.ycombinator.com/companies/industry/real-estate-and-construction","watchlist","India","India","YC rental marketplace","Scale unknown","S/H","AI rental and flatmate matching","YC-backed startup","FlatX","Unknown","startup self-report","D","South Asian rental-discovery pattern","Tier 3","Verify current operating status","https://www.ycombinator.com/companies/industry/real-estate-and-construction","2026-08-30"
"Sidewalk Labs / Quayside","https://www.waterfrontoronto.ca/","closed","Canada","Canada","cancelled smart-city development","12-acre project; agreement terminated 17 May 2020","L/D/O/E","Data-driven connected-city testbed","Alphabet/Waterfront Toronto partnership","Quayside","Cancelled 7 May 2020; agreement terminated 17 May","observed","A","Failure lesson for scope, legitimacy, privacy and viability","Tier 2","Do not frame as current active project","https://www.waterfrontoronto.ca/sites/default/files/documents/plan-development-agreement-amendments-and-sidewalk-labs--termination-notice---termination-effective-date---may-17-2020.pdf; https://techcrunch.com/2020/05/07/sidewalk-labs-shuts-down-toronto-project/","2026-08-30"
"Katerra","https://www.katerra.com/","closed","United States","United States global","failed construction technology and off-site manufacturing","Raised approximately $2bn per credible reporting; Chapter 11 June 2021","D/C","Vertically integrated off-site construction and manufacturing","Venture-backed industrialisation","Off-site construction factories","Chapter 11 filing June 2021","observed","B","Cautionary case for capex, working capital and scale assumptions","Tier 2","Use court/financial sources for causal detail","https://www.sec.gov/; https://www.reuters.com/","2026-08-30"
"WeWork","https://www.wework.com/","restructured","United States","Global","flexible workspace operator","Chapter 11 Nov 2023; emerged June 2024","S/H/O/F","Technology-enabled flexible space and community","Venture-backed operator; restructuring","Flexible workspace platform","Chapter 11 and restructuring documented in court/SEC records","observed","A","Failure lesson for fixed leases, utilisation and capital structure","Tier 2","Refresh current footprint before publication","https://www.njb.uscourts.gov/wework; https://www.sec.gov/Archives/edgar/data/1813756/000119312523274596/d295389d8k.htm","2026-08-30"
"Veev by Lennar","https://www.veev.com/","integrated","United States","United States","precision-built home technology acquired by builder","Official biography says >$500m raised and acquired by Lennar in 2023","D/C","Prefabrication, enclosed-wall technology and precision-built homes","Venture-backed startup integrated into Lennar","Veev; LENX",">$500m raised; acquisition in 2023 (company biography)","company-reported","B","Shows capability can survive strategic integration","Tier 2","Confirm transaction terms and post-acquisition deployment","https://www.veev.com/about-us/; https://www.lennar.com/about/companies","2026-08-30"
